Name;Latitude;Longitude
Chad, National Average;14.525174054;20.928700939
Chad, Biltine;14.525174054;20.928700939
Chad, Iriba;15.126820227;22.24626529
Chad, Am-Zoer;14.217220455;21.385438638
Chad, Guereda;14.510640434;22.088390887
Chad, Mongo;8.808100067;18.909616638
Chad, Mangalme;12.365648068;19.615226956
Chad, Bitkine;11.981107707;18.217678126
Chad, Melfi;11.063717074;17.934813369
Chad, Bol;10.983492727;22.796802269
Chad, Benoye;8.501427821;16.328548696
Chad, Mbaïnamar;8.975056929;15.797455637
Chad, Krim Krim;8.975056929;15.797455637
Chad, Am Timan;11.039636833;20.282642869
Chad, Aboudeia;11.450623535;19.277614374
Chad, Haraze Mangueigne;10.513488863;21.311249323
Chad, Oum Hadjer;13.293754654;19.688952668
Chad, Oumhadjer;13.844551028;21.630099937
Chad, Ati;13.844551028;21.630099937
Chad, Yao;12.851009063;17.559303939
Chad, Faya;17.920932324;19.095320133
Chad, Amdjarass;16.066287979;22.835044786
Chad, Bousso;10.485787754;16.711270753
Chad, Massenya;11.403310058;16.171919927
Chad, Bokoro;12.376328051;17.056765929
Chad, Ndjamena;12.1191543;15.0502758
Chad, Massakory;12.996486078;15.734910043
Chad, Mandelia;11.728432266;15.245653745
Chad, Massaguet;12.482425609;15.439631939
Chad, Moussoro;8.45271865;18.256936362
Chad, Mao;9.300583381;17.461549994
Chad, Nokou;14.562925662;14.78423249
Chad, Ngouri;8.432906563;18.12159922
Chad, Mondo;11.964219136;22.406263249
Chad, Moundou;8.71050003;18.059599958
Chad, Gore;8.767733306;17.205666667
Chad, Doba;8.918148583;18.469494553
Chad, Mbaïbokoum;7.744776402;15.694195619
Chad, Bebedja;8.857250006;18.339266684
Chad, Beboto;8.305819335;16.959336028
Chad, Bodo;8.906532411;18.830053937
Chad, Fianga;9.915178724;15.140903089
Chad, Bongor;9.721937454;15.844259178
Chad, Gueledeng;10.92032514;15.546780489
Chad, Pala;8.670200006;15.474533262
Chad, Lere;9.658738229;14.225114956
Chad, Sarh;9.140647177;18.393796831
Chad, Maro;8.415207011;18.767694253
Chad, Kyabe;9.453859403;18.944260888
Chad, Koumra;11.150895762;19.289937867
Chad, Moissala;8.338015434;17.765281582
Chad, Peni;8.817600027;18.387299934
Chad, Abeche;13.828029578;20.828365199
Chad, Abdi;12.808157258;21.304443637
Chad, Goz Beida;12.225592032;21.410161648
Chad, Amdam;11.211301574;19.590284424
Chad, Laï;7.92065006;16.627899986
Chad, Kélo;9.313507532;15.786984293
Cote d'Ivoire, Duekoue;6.741766829;-7.348013604
Cote d'Ivoire, Daloa;6.876690476;-6.451609628
Egypt, National Average;30.033333;31.233334
Libya, National Average;31.8333333333;11.3333333333
Libya, Nalut;31.863786506;10.982790291
Libya, Azzintan;31.9333296;12.2333324
Libya, AlMarj;31.93333;21.31667
Libya, Ghat;24.9499962;10.166666
Libya, Ejdabia;30.750000;20.216667
Libya, Al Aziziya;32.533092324;13.017624188
Libya, Albayda;30.838048405;20.507818675
Libya, Aljufra;29.192165898;16.000666664
Libya, Alkhums;32.64861;14.26191
Libya, Msallata;32.579922066;14.04173702
Libya, Alkufra;24.1833326; 23.2833322
Libya, Brak;27.551630068;14.272143971
Libya, Ubari;26.590939163;12.769565787
Libya, Azzawya;32.75222;12.72778
Libya, Janzour;31.982012127;24.656990832
Libya, Benghazi;32.1288331;20.0817204
Libya, Derna;32.759379533;22.638319423
Libya, Ghadamis;30.125840466;9.490065789
Libya, Ghiryan;32.171587334;13.02114509
Libya, Ashshgega;32.56756205;14.465639999
Libya, Zliten;32.46756205;14.565639999
Libya, Misrata;32.374531839;15.09048854
Libya, Algatroun;26.3347113;17.2692101
Libya, Murzuq;25.8999964;13.8999964
Libya, Wadi Etba;32.790621155;12.482674532
Libya, Sabratha;32.790621155;12.482674532
Libya, Zwara;31.815083716;14.120915327
Libya, Sebha;27.03648644;14.429039788
Libya, Bani Waleed;31.2059625;16.583620571
Libya, Sirt;31.2059625;16.583620571
Libya, Tarhuna;32.434586133;13.63506862
Libya, Abusliem;32.885353;13.180161
Libya, Suq Aljumaa;32.892;13.178
Libya, Tripoli center;32.892;13.178
Libya, Hai Alandalus;32.852246461;22.482879499
Libya, Ain Zara;32.752246461;22.382879499
Libya, Tajoura;32.179396924;24.65318026
Libya, Tobruk;32.079396924;23.965318026
Libya, Yefren;32.063324962;12.527141282
Malawi, Northern Region;-11.0;34.0
Mozambique, National Average;-18.25;35.0
Mozambique, Pemba;-12.97562;40.516433
Mozambique, Montepuez;-13.047769999;39.27981846
Mozambique, Balama;-13.347445523;38.574673589
Mozambique, Namuno;-13.620336773;38.813582053
Mozambique, Chokwe;-24.525278;33.008611
Mozambique, Xai Xai;-25.05;33.65
Mozambique, Chicualacuala Mapai;-22.732826956;32.058587261
Mozambique, Chibuto;-24.688636945;33.531258982
Mozambique, Inhambane;-23.865;35.383333
Mozambique, Massinga;-23.329697179;35.380512094
Mozambique, Maxixe;-23.861560996;35.348933944
Mozambique, Funhalouro;-23.090434383;34.386014035
Mozambique, Govuro;-21.330157;34.597132
Mozambique, Inharrime;-24.472853972;35.021780971
Mozambique, Inhassoro;-21.535278944;35.204193983
Mozambique, Mabote;-22.040581261;34.130925229
Mozambique, Morrumbene;-23.658349239;35.343155963
Mozambique, Panda;-24.0650;34.7280
Mozambique, Vilanculos;-22;35.316
Mozambique, Manica;-12.07058596;40.428760964
Mozambique, Chimoio;-19.116667;33.45
Mozambique, Báruè;-17.81047;33.17267
Mozambique, Gondola;-19.0805166;33.639741261
Mozambique, Maputo;-25.966213;32.56745
Mozambique, Bela Vista;-26.344721757;32.671443019
Mozambique, Boane;-26.043492959;32.327360949
Mozambique, Cidade da Matola;-25.966;32.466667
Mozambique, Manhica;-25.403841796;32.806783766
Mozambique, Moamba;-25.60116904;32.244890565
Mozambique, Namaacha;-25.9666628;32.0333332
Mozambique, Nampula;-15.116;39.266667
Mozambique, Nacala;-14.542778;40.672778
Mozambique, Ribaue;-16.813121472;38.58164398
Mozambique, Malema;-16.826970028;38.498048158
Mozambique, Murrupula;-15.468193882;38.682100922
Mozambique, Lichinga;-13.309866;35.255082
Mozambique, Cuamba;-14.805256;36.534686
Mozambique, Macanga;-20.97415483;35.004661521
Mozambique, Mandimba;-10.936779163;39.849342545
Mozambique, Beira;-19.833;34.85
Mozambique, Gorongoza;-13.094695775;39.818043094
Mozambique, Nhamatanda;-19.270296935;34.208339984
Mozambique, Buzi;-19.883899861;34.596874136
Mozambique, Caia;-15.594110786;37.673789067
Mozambique, Angónia;-15.028889;34.505833
Mozambique, Mutarara;-17.453954948;35.079177981
Mozambique, Tete;-16.16;33.6
Mozambique, Changara;-16.825106433;33.273826679
Mozambique, Milange;-16.09720343;35.771039631
Mozambique, Alto Molócuè;-15.632507677;37.68461857
Mozambique, Mocuba;-16.839214924;36.985641941
Mozambique, Quelimane;-17.876;36.887
Sudan, National Average;4.843640;31.603360
Sudan, Rumbek;6.806390116;29.676748775
Sudan, Minkaman;6.054805906;31.51481783
Sudan, Bentiu;9.2480864;29.800398778
Sudan, Yida;10.102680837;30.092954021
Sudan, Rubkona;9.289423336;29.789508339
Sudan, Aniet;15.597380;32.534730
Sudan, Konyokonyo;4.834754; 31.608356
Sudan, Torit;4.413447342;32.568224324
Sudan, Kapoeta South;4.769101754;33.589969939
Sudan, Bor;6.21087416;31.561439652
Sudan, Akobo;7.792933764;33.002939578
Sudan, Aweil Town;8.769335254;27.396208439
Sudan, Kuajok;8.302420943;27.978944583
Sudan, Wunrok;8.992183618;28.303171936
Sudan, Jau;9.34722;28.58000
Sudan, Yambio;4.568071629;28.397669932
Sudan, Makpandu;4.750600;28.701407
Sudan, Malakal;9.538848766;31.658416763
Sudan, Bunj;9.963395508;33.725906052
Sudan, Suk Shabi;15.659300;32.470283
Sudan, Melut;10.441974535;32.20247386